Order Date,Customer Name,Segment,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Profit
9/17/2015,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2,1.1016
9/17/2015,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.304,6,9.7092
9/17/2015,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.858,6,-5.715
9/17/2015,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2,3.546
10/19/2017,Matt Abelman,Home Office,Houston,Texas,77095,Central,Office Supplies,Paper,29.472,3,9.9468
12/8/2016,Gene Hale,Corporate,Richardson,Texas,75080,Central,Technology,Phones,1097.544,7,123.4737
12/8/2016,Gene Hale,Corporate,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,-147.963
12/27/2015,Steve Nguyen,Home Office,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.328,9,35.415
12/27/2015,Steve Nguyen,Home Office,Houston,Texas,77041,Central,Furniture,Bookcases,532.3992,3,-46.9764
12/27/2015,Steve Nguyen,Home Office,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,-15.147
12/27/2015,Steve Nguyen,Home Office,Houston,Texas,77041,Central,Technology,Phones,371.168,4,41.7564
9/10/2017,Linda Cazamias,Corporate,Naperville,Illinois,60540,Central,Technology,Phones,147.168,4,16.5564
7/17/2016,Ruben Ausman,Corporate,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,3.894
9/19/2017,Erin Smith,Corporate,Melbourne,Florida,32935,South,Office Supplies,Storage,95.616,2,9.5616
3/11/2016,Odella Nelson,Corporate,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,19.7714
3/11/2016,Odella Nelson,Corporate,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2,8.2062
10/20/2014,Patrick O'Donnell,Consumer,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4,8.4784
6/20/2016,Lena Hernandez,Consumer,Dover,Delaware,19901,East,Technology,Accessories,45,3,4.95
6/20/2016,Lena Hernandez,Consumer,Dover,Delaware,19901,East,Technology,Phones,21.8,2,6.104
4/18/2015,Darren Powers,Consumer,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6,17.9634
4/18/2015,Darren Powers,Consumer,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.18,6,35.3346
4/18/2015,Darren Powers,Consumer,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2,2.9568
4/18/2015,Darren Powers,Consumer,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1,17.0981
12/11/2016,Janet Molinari,Corporate,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7,6.2566
12/11/2016,Janet Molinari,Corporate,New York City,New York,10024,East,Technology,Phones,1029.95,5,298.6855
6/17/2016,Ted Butterfield,Consumer,Troy,New York,12180,East,Office Supplies,Storage,208.56,6,52.14
6/17/2016,Ted Butterfield,Consumer,Troy,New York,12180,East,Office Supplies,Paper,32.4,5,15.552
6/17/2016,Ted Butterfield,Consumer,Troy,New York,12180,East,Furniture,Chairs,319.41,5,7.098
6/17/2016,Ted Butterfield,Consumer,Troy,New York,12180,East,Office Supplies,Paper,14.56,2,6.9888
6/17/2016,Ted Butterfield,Consumer,Troy,New York,12180,East,Technology,Accessories,30,2,3.3
6/17/2016,Ted Butterfield,Consumer,Troy,New York,12180,East,Office Supplies,Binders,48.48,4,16.362
6/17/2016,Ted Butterfield,Consumer,Troy,New York,12180,East,Office Supplies,Art,1.68,1,0.84
11/24/2015,Kunst Miller,Consumer,Los Angeles,California,90004,West,Technology,Accessories,13.98,2,6.1512
11/24/2015,Kunst Miller,Consumer,Los Angeles,California,90004,West,Office Supplies,Binders,25.824,6,9.3612
11/24/2015,Kunst Miller,Consumer,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3,68.9631
11/24/2015,Kunst Miller,Consumer,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4,22.3328
4/30/2015,Paul Stevenson,Home Office,Chicago,Illinois,60610,Central,Furniture,Chairs,213.115,5,-15.2225
12/5/2014,Brendan Sweed,Corporate,Gilbert,Arizona,85234,West,Office Supplies,Art,1113.024,8,111.3024
12/5/2014,Brendan Sweed,Corporate,Gilbert,Arizona,85234,West,Technology,Phones,167.968,4,62.988
6/4/2016,Karen Daniels,Consumer,Springfield,Virginia,22153,South,Office Supplies,Paper,75.88,2,35.6636
9/18/2016,Henry MacAllister,Consumer,New York City,New York,10009,East,Office Supplies,Binders,4.616,1,1.731
9/14/2017,Tracy Blumstein,Consumer,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.05,3,8.763
4/26/2015,Joel Eaton,Consumer,Memphis,Tennessee,38109,South,Furniture,Chairs,831.936,8,-114.3912
4/26/2015,Joel Eaton,Consumer,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,1.213
4/26/2015,Joel Eaton,Consumer,Memphis,Tennessee,38109,South,Office Supplies,Storage,72.784,1,-18.196
12/9/2017,Ken Brennan,Corporate,Houston,Texas,77041,Central,Office Supplies,Binders,1.248,3,-1.9344
12/9/2017,Ken Brennan,Corporate,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,-5.8248
12/9/2017,Ken Brennan,Corporate,Houston,Texas,77041,Central,Office Supplies,Storage,27.24,3,2.724
11/26/2014,Joel Eaton,Consumer,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,-14.475
6/12/2016,Stewart Carmichael,Corporate,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.16,1,56.2032
6/12/2016,Stewart Carmichael,Corporate,Decatur,Alabama,35601,South,Office Supplies,Binders,16.74,3,8.0352
10/12/2014,Duane Noonan,Consumer,San Francisco,California,94122,West,Office Supplies,Art,14.9,5,4.172
10/12/2014,Duane Noonan,Consumer,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1,6.2031
9/3/2015,Julie Creighton,Corporate,Durham,North Carolina,27707,South,Office Supplies,Envelopes,200.984,7,62.8075
11/13/2017,Christopher Schild,Home Office,Chicago,Illinois,60623,Central,Office Supplies,Storage,230.376,3,-48.9549
5/28/2017,Patrick O'Donnell,Consumer,Columbia,South Carolina,29203,South,Furniture,Chairs,301.96,2,33.2156
10/26/2017,Paul Gonzalez,Consumer,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1,6.7966
10/26/2017,Paul Gonzalez,Consumer,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.16,2,2.9568
4/5/2016,Gary Mitchum,Home Office,Houston,Texas,77095,Central,Office Supplies,Storage,158.368,7,13.8572
9/17/2016,Jim Sink,Corporate,Los Angeles,California,90036,West,Office Supplies,Art,20.1,3,6.633
9/17/2016,Jim Sink,Corporate,Los Angeles,California,90036,West,Technology,Phones,73.584,2,8.2782
9/17/2016,Jim Sink,Corporate,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1,3.1104
1/31/2015,Karl Braun,Consumer,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.96,2,6.2208
1/31/2015,Karl Braun,Consumer,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,16.5354
1/31/2015,Karl Braun,Consumer,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.96,2,16.1504
11/6/2017,Roger Barcio,Home Office,Portland,Oregon,97206,West,Office Supplies,Binders,5.682,1,-3.788
11/9/2017,Parhena Norris,Home Office,New York City,New York,10009,East,Furniture,Furnishings,96.53,7,40.5426
6/17/2017,Katherine Ducich,Consumer,San Francisco,California,94122,West,Office Supplies,Binders,51.312,3,17.9592
9/6/2016,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,77.88,6,22.5852
8/29/2016,Rick Bensley,Home Office,Chicago,Illinois,60610,Central,Office Supplies,Paper,64.624,7,22.6184
8/29/2016,Rick Bensley,Home Office,Chicago,Illinois,60610,Central,Technology,Accessories,95.976,3,-10.7973
8/29/2016,Rick Bensley,Home Office,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.788,3,-3.0396
12/1/2016,Gary Zandusky,Consumer,Rochester,Minnesota,55901,Central,Office Supplies,Paper,23.92,4,11.7208
11/13/2015,Lena Cacioppo,Consumer,Aurora,Colorado,80013,West,Technology,Accessories,238.896,6,-26.8758
11/13/2015,Lena Cacioppo,Consumer,Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3,-3.8385
11/13/2015,Lena Cacioppo,Consumer,Aurora,Colorado,80013,West,Office Supplies,Binders,36.882,3,-25.8174
11/23/2017,Janet Martin,Consumer,Charlotte,North Carolina,28205,South,Technology,Accessories,74.112,8,17.6016
11/23/2017,Janet Martin,Consumer,Charlotte,North Carolina,28205,South,Technology,Phones,27.992,1,2.0994
11/23/2017,Janet Martin,Consumer,Charlotte,North Carolina,28205,South,Office Supplies,Art,3.304,1,1.0738
10/15/2015,Pete Armstrong,Home Office,Orland Park,Illinois,60462,Central,Technology,Accessories,339.96,5,67.992
12/25/2017,Cynthia Voltz,Corporate,New York City,New York,10035,East,Furniture,Furnishings,41.96,2,10.9096
11/3/2016,Clay Ludtke,Consumer,Urbandale,Iowa,50322,Central,Office Supplies,Art,75.96,2,22.788
11/3/2016,Clay Ludtke,Consumer,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.24,6,13.3476
8/25/2014,Ryan Crowe,Consumer,Columbus,Ohio,43229,East,Office Supplies,Fasteners,40.096,14,14.5348
8/25/2014,Ryan Crowe,Consumer,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.72,2,1.652
8/25/2014,Ryan Crowe,Consumer,Columbus,Ohio,43229,East,Office Supplies,Paper,23.976,3,7.4925
8/25/2014,Ryan Crowe,Consumer,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130.464,6,44.0316
3/2/2015,Dave Kipp,Consumer,Seattle,Washington,98103,West,Furniture,Tables,787.53,3,165.3813
4/5/2015,Greg Guthrie,Corporate,Bristol,Tennessee,37620,South,Office Supplies,Binders,157.794,1,-115.7156
6/12/2016,Steven Cartwright,Consumer,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3,18.3456
6/12/2016,Steven Cartwright,Consumer,Wilmington,Delaware,19805,East,Office Supplies,Binders,30.84,4,13.878
6/12/2016,Steven Cartwright,Consumer,Wilmington,Delaware,19805,East,Office Supplies,Storage,226.56,6,63.4368
6/12/2016,Steven Cartwright,Consumer,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,115.02,9,51.759
6/12/2016,Steven Cartwright,Consumer,Wilmington,Delaware,19805,East,Technology,Phones,68.04,7,19.7316
12/26/2014,Alan Dominguez,Home Office,Houston,Texas,77041,Central,Furniture,Chairs,600.558,3,-8.5794
9/20/2014,Philip Fox,Consumer,Bloomington,Illinois,61701,Central,Furniture,Tables,617.7,6,-407.682
11/5/2017,Troy Staebel,Consumer,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.388,2,-1.8308
11/5/2017,Troy Staebel,Consumer,Phoenix,Arizona,85023,West,Office Supplies,Storage,243.992,7,30.499
11/6/2016,Lindsay Shagiari,Home Office,Los Angeles,California,90004,West,Furniture,Chairs,81.424,2,-9.1602
11/6/2016,Lindsay Shagiari,Home Office,Los Angeles,California,90004,West,Furniture,Furnishings,238.56,3,26.2416
2/2/2017,Dorothy Wardle,Corporate,Columbus,Ohio,43229,East,Technology,Phones,59.97,5,-11.994
2/2/2017,Dorothy Wardle,Corporate,Columbus,Ohio,43229,East,Office Supplies,Paper,78.304,2,29.364
2/2/2017,Dorothy Wardle,Corporate,Columbus,Ohio,43229,East,Office Supplies,Fasteners,21.456,9,6.9732
10/13/2016,Lena Creighton,Consumer,Roseville,California,95661,West,Office Supplies,Paper,20.04,3,9.6192
10/13/2016,Lena Creighton,Consumer,Roseville,California,95661,West,Office Supplies,Paper,35.44,1,16.6568
10/13/2016,Lena Creighton,Consumer,Roseville,California,95661,West,Office Supplies,Art,11.52,4,3.456
10/13/2016,Lena Creighton,Consumer,Roseville,California,95661,West,Office Supplies,Fasteners,4.02,2,1.9698
10/13/2016,Lena Creighton,Consumer,Roseville,California,95661,West,Office Supplies,Binders,76.176,3,26.6616
10/13/2016,Lena Creighton,Consumer,Roseville,California,95661,West,Office Supplies,Supplies,65.88,6,18.4464
10/13/2016,Lena Creighton,Consumer,Roseville,California,95661,West,Furniture,Furnishings,43.12,14,20.6976
9/5/2016,Jonathan Doherty,Corporate,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.8,2,10.35
9/18/2017,Sally Hughsby,Corporate,San Francisco,California,94122,West,Office Supplies,Art,8.82,3,2.3814
9/18/2017,Sally Hughsby,Corporate,San Francisco,California,94122,West,Office Supplies,Envelopes,10.86,3,5.1042
9/18/2017,Sally Hughsby,Corporate,San Francisco,California,94122,West,Office Supplies,Paper,143.7,3,68.976
12/22/2017,Sandra Glassco,Consumer,Independence,Missouri,64055,Central,Office Supplies,Appliances,839.43,3,218.2518
9/7/2015,Helen Andreada,Consumer,Pasadena,California,91104,West,Office Supplies,Storage,671.93,7,20.1579
10/22/2014,Maureen Gastineau,Home Office,Newark,Ohio,43055,East,Furniture,Furnishings,93.888,4,12.9096
12/5/2016,Justin Ellison,Corporate,Franklin,Wisconsin,53132,Central,Technology,Phones,384.45,11,103.8015
12/5/2016,Justin Ellison,Corporate,Franklin,Wisconsin,53132,Central,Technology,Phones,149.97,3,5.9988
12/5/2016,Justin Ellison,Corporate,Franklin,Wisconsin,53132,Central,Furniture,Chairs,1951.84,8,585.552
12/5/2016,Justin Ellison,Corporate,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,171.55,5,80.6285
3/13/2016,Tamara Willingham,Home Office,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,157.92,5,17.766
3/13/2016,Tamara Willingham,Home Office,Scottsdale,Arizona,85254,West,Technology,Phones,203.184,2,15.2388
5/31/2015,Stephanie Phelps,Corporate,San Jose,California,95123,West,Office Supplies,Paper,58.38,7,26.271
5/31/2015,Stephanie Phelps,Corporate,San Jose,California,95123,West,Office Supplies,Paper,105.52,4,48.5392
5/31/2015,Stephanie Phelps,Corporate,San Jose,California,95123,West,Office Supplies,Storage,80.88,6,21.0288
5/28/2015,Neil Knudson,Home Office,Seattle,Washington,98105,West,Office Supplies,Art,6.63,3,1.7901
3/1/2014,Dave Brooks,Consumer,Seattle,Washington,98115,West,Furniture,Chairs,457.568,2,51.4764
11/20/2016,Nora Paige,Consumer,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,14.62,2,6.8714
11/20/2016,Nora Paige,Consumer,Edmond,Oklahoma,73034,Central,Technology,Phones,944.93,7,236.2325
5/11/2016,Ted Trevino,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,5.98,1,2.691
12/28/2015,Eric Murdock,Consumer,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,54.384,2,1.3596
11/16/2016,Ruben Dartt,Consumer,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,28.4,5,13.348
11/7/2016,Max Jones,Consumer,Seattle,Washington,98115,West,Office Supplies,Binders,27.68,2,9.688
9/8/2014,Becky Martin,Consumer,San Antonio,Texas,78207,Central,Office Supplies,Art,9.936,3,2.7324
9/8/2014,Becky Martin,Consumer,San Antonio,Texas,78207,Central,Technology,Machines,8159.952,8,-1359.992
9/8/2014,Becky Martin,Consumer,San Antonio,Texas,78207,Central,Office Supplies,Storage,275.928,3,-58.6347
9/8/2014,Becky Martin,Consumer,San Antonio,Texas,78207,Central,Furniture,Chairs,1740.06,9,-24.858
9/8/2014,Becky Martin,Consumer,San Antonio,Texas,78207,Central,Office Supplies,Art,32.064,6,6.8136
9/8/2014,Becky Martin,Consumer,San Antonio,Texas,78207,Central,Office Supplies,Appliances,177.98,5,-453.849
9/8/2014,Becky Martin,Consumer,San Antonio,Texas,78207,Central,Technology,Phones,143.976,3,8.9985
8/5/2014,Chad Sievert,Consumer,Los Angeles,California,90004,West,Office Supplies,Paper,20.94,3,9.8418
8/5/2014,Chad Sievert,Consumer,Los Angeles,California,90004,West,Office Supplies,Paper,110.96,2,53.2608
8/5/2014,Chad Sievert,Consumer,Los Angeles,California,90004,West,Furniture,Chairs,340.144,7,21.259
9/14/2014,Jennifer Braxton,Corporate,Chicago,Illinois,60623,Central,Office Supplies,Appliances,52.448,2,-131.12
9/14/2014,Jennifer Braxton,Corporate,Chicago,Illinois,60623,Central,Office Supplies,Labels,20.16,4,6.552
4/21/2017,Shirley Jackson,Consumer,Houston,Texas,77036,Central,Office Supplies,Appliances,97.264,4,-243.16
11/21/2015,Joel Eaton,Consumer,Newark,Ohio,43055,East,Furniture,Chairs,396.802,7,-11.3372
11/21/2015,Joel Eaton,Consumer,Newark,Ohio,43055,East,Office Supplies,Supplies,15.88,5,-3.7715
12/15/2015,Jim Kriz,Home Office,New York City,New York,10009,East,Office Supplies,Art,3.28,1,1.4104
12/5/2014,David Kendrick,Corporate,Decatur,Illinois,62521,Central,Office Supplies,Storage,24.816,2,1.8612
12/5/2014,David Kendrick,Corporate,Decatur,Illinois,62521,Central,Technology,Accessories,408.744,7,76.6395
11/19/2014,Robert Marley,Home Office,Monroe,Louisiana,71203,South,Technology,Phones,503.96,4,131.0296
11/19/2014,Robert Marley,Home Office,Monroe,Louisiana,71203,South,Technology,Phones,149.95,5,41.986
11/19/2014,Robert Marley,Home Office,Monroe,Louisiana,71203,South,Technology,Accessories,29,2,7.25
11/28/2016,Sally Knutson,Consumer,Fairfield,Connecticut,6824,East,Office Supplies,Binders,7.16,2,3.4368
8/26/2014,Frank Merwin,Home Office,Los Angeles,California,90032,West,Technology,Accessories,176.8,8,22.984
7/16/2016,Alice McCarthy,Corporate,Grand Prairie,Texas,75051,Central,Office Supplies,Storage,37.224,3,3.7224
7/16/2016,Alice McCarthy,Corporate,Grand Prairie,Texas,75051,Central,Office Supplies,Paper,20.016,3,6.255
10/12/2015,Mark Packer,Home Office,New York City,New York,10035,East,Furniture,Bookcases,899.136,4,112.392
10/12/2015,Mark Packer,Home Office,New York City,New York,10035,East,Technology,Phones,71.76,6,20.0928
10/12/2015,Mark Packer,Home Office,New York City,New York,10035,East,Office Supplies,Paper,51.84,8,24.8832
10/12/2015,Mark Packer,Home Office,New York City,New York,10035,East,Furniture,Bookcases,626.352,3,46.9764
10/12/2015,Mark Packer,Home Office,New York City,New York,10035,East,Office Supplies,Art,19.9,5,6.567
10/31/2015,Mary Zewe,Corporate,Redlands,California,92374,West,Office Supplies,Envelopes,14.28,7,6.7116
3/21/2014,Cassandra Brandow,Consumer,Hamilton,Ohio,45011,East,Office Supplies,Art,7.408,2,1.2038
3/21/2014,Cassandra Brandow,Consumer,Hamilton,Ohio,45011,East,Office Supplies,Art,6.048,3,1.5876
11/6/2017,Valerie Mitchum,Home Office,Westfield,New Jersey,7090,East,Office Supplies,Storage,46.26,3,12.0276
7/6/2017,Fred Hopkins,Corporate,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders,2.946,2,-2.2586
7/6/2017,Fred Hopkins,Corporate,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,16.056,3,5.8203
6/24/2017,Maria Bertelson,Consumer,Akron,Ohio,44312,East,Office Supplies,Paper,21.744,3,6.795
8/3/2014,Bruce Stewart,Consumer,Denver,Colorado,80219,West,Furniture,Tables,218.75,2,-161.875
8/3/2014,Bruce Stewart,Consumer,Denver,Colorado,80219,West,Office Supplies,Appliances,2.6,1,0.2925
12/17/2017,Logan Currie,Consumer,Dallas,Texas,75220,Central,Office Supplies,Appliances,66.284,2,-178.9668
6/3/2017,Heather Kirkland,Corporate,Franklin,Tennessee,37064,South,Furniture,Furnishings,35.168,7,9.6712
12/9/2017,Laurel Elliston,Consumer,Whittier,California,90604,West,Technology,Phones,444.768,4,44.4768
12/1/2017,Joseph Holt,Consumer,Saginaw,Michigan,48601,Central,Office Supplies,Storage,83.92,4,5.8744
12/1/2017,Joseph Holt,Consumer,Saginaw,Michigan,48601,Central,Technology,Phones,131.98,2,35.6346
12/1/2017,Joseph Holt,Consumer,Saginaw,Michigan,48601,Central,Office Supplies,Binders,15.92,4,7.4824
12/1/2017,Joseph Holt,Consumer,Saginaw,Michigan,48601,Central,Office Supplies,Fasteners,52.29,9,16.2099
12/1/2017,Joseph Holt,Consumer,Saginaw,Michigan,48601,Central,Office Supplies,Storage,91.99,1,3.6796
2/9/2015,Michael Stewart,Corporate,Dallas,Texas,75220,Central,Technology,Accessories,20.8,2,6.5
1/2/2015,Victoria Wilson,Corporate,Medina,Ohio,44256,East,Office Supplies,Labels,23.68,2,8.88
1/2/2015,Victoria Wilson,Corporate,Medina,Ohio,44256,East,Furniture,Bookcases,452.45,5,-244.323
1/2/2015,Victoria Wilson,Corporate,Medina,Ohio,44256,East,Technology,Phones,62.982,3,-14.6958
1/2/2015,Victoria Wilson,Corporate,Medina,Ohio,44256,East,Technology,Machines,1188,9,-950.4
1/2/2015,Victoria Wilson,Corporate,Medina,Ohio,44256,East,Technology,Accessories,89.584,2,4.4792
10/28/2016,Jonathan Howell,Consumer,Los Angeles,California,90032,West,Office Supplies,Storage,93.06,6,26.0568
10/28/2016,Jonathan Howell,Consumer,Los Angeles,California,90032,West,Technology,Phones,302.376,3,22.6782
12/24/2015,Joni Blumstein,Consumer,Dublin,Ohio,43017,East,Office Supplies,Fasteners,5.584,2,1.8148
12/24/2015,Joni Blumstein,Consumer,Dublin,Ohio,43017,East,Office Supplies,Paper,22.704,6,8.2302
12/24/2015,Joni Blumstein,Consumer,Dublin,Ohio,43017,East,Office Supplies,Binders,19.776,4,-13.8432
12/24/2015,Joni Blumstein,Consumer,Dublin,Ohio,43017,East,Furniture,Furnishings,72.704,4,19.0848
12/24/2015,Joni Blumstein,Consumer,Dublin,Ohio,43017,East,Technology,Machines,479.988,4,-383.9904
12/24/2015,Joni Blumstein,Consumer,Dublin,Ohio,43017,East,Office Supplies,Art,27.168,2,2.7168
8/9/2015,David Smith,Corporate,Detroit,Michigan,48227,Central,Office Supplies,Art,2.2,1,0.968
8/9/2015,David Smith,Corporate,Detroit,Michigan,48227,Central,Furniture,Tables,622.45,5,136.939
8/9/2015,David Smith,Corporate,Detroit,Michigan,48227,Central,Office Supplies,Storage,21.98,1,0.2198
2/28/2015,Valerie Dominguez,Consumer,Columbia,Tennessee,38401,South,Furniture,Chairs,161.568,2,-28.2744
2/28/2015,Valerie Dominguez,Consumer,Columbia,Tennessee,38401,South,Furniture,Chairs,389.696,8,43.8408
9/13/2014,Erin Ashbrook,Corporate,Charlotte,North Carolina,28205,South,Office Supplies,Binders,18.648,7,-12.432
4/7/2017,Christopher Schild,Home Office,Tampa,Florida,33614,South,Furniture,Tables,233.86,2,-102.048
4/7/2017,Christopher Schild,Home Office,Tampa,Florida,33614,South,Furniture,Tables,620.6145,3,-248.2458
4/7/2017,Christopher Schild,Home Office,Tampa,Florida,33614,South,Office Supplies,Binders,5.328,2,-3.552
4/7/2017,Christopher Schild,Home Office,Tampa,Florida,33614,South,Furniture,Furnishings,258.072,3,0
4/7/2017,Christopher Schild,Home Office,Tampa,Florida,33614,South,Technology,Accessories,617.976,3,-7.7247
11/12/2017,David Bremer,Corporate,Santa Clara,California,95051,West,Office Supplies,Paper,10.56,2,4.752
6/4/2016,Ken Lonsdale,Consumer,Chicago,Illinois,60610,Central,Office Supplies,Paper,25.92,5,9.396
6/4/2016,Ken Lonsdale,Consumer,Chicago,Illinois,60610,Central,Furniture,Furnishings,419.68,5,-356.728
6/4/2016,Ken Lonsdale,Consumer,Chicago,Illinois,60610,Central,Furniture,Furnishings,11.688,3,-4.6752
6/4/2016,Ken Lonsdale,Consumer,Chicago,Illinois,60610,Central,Technology,Phones,31.984,2,11.1944
6/4/2016,Ken Lonsdale,Consumer,Chicago,Illinois,60610,Central,Furniture,Tables,177.225,5,-120.513
6/4/2016,Ken Lonsdale,Consumer,Chicago,Illinois,60610,Central,Furniture,Furnishings,4.044,3,-2.8308
