Order Date,Customer Name,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Profit
11-12-2018,Janet Molinari,Corporate,New York City,New York,East,Technology,Phones,1029.95,5,298.6855
17-06-2018,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Storage,208.56,6,52.14
17-06-2018,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Paper,32.4,5,15.552
17-06-2018,Ted Butterfield,Consumer,Troy,New York,East,Furniture,Chairs,319.41,5,7.098
17-06-2018,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Paper,14.56,2,6.9888
17-06-2018,Ted Butterfield,Consumer,Troy,New York,East,Technology,Accessories,30,2,3.3
17-06-2018,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Binders,48.48,4,16.362
17-06-2018,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Art,1.68,1,0.84
24-11-2017,Kunst Miller,Consumer,Los Angeles,California,West,Technology,Accessories,13.98,2,6.1512
24-11-2017,Kunst Miller,Consumer,Los Angeles,California,West,Office Supplies,Binders,25.824,6,9.3612
24-11-2017,Kunst Miller,Consumer,Los Angeles,California,West,Office Supplies,Paper,146.73,3,68.9631
24-11-2017,Kunst Miller,Consumer,Los Angeles,California,West,Furniture,Furnishings,79.76,4,22.3328
30-04-2017,Paul Stevenson,Home Office,Chicago,Illinois,Central,Furniture,Chairs,213.115,5,-15.2225
05-12-2016,Brendan Sweed,Corporate,Gilbert,Arizona,West,Office Supplies,Art,1113.024,8,111.3024
05-12-2016,Brendan Sweed,Corporate,Gilbert,Arizona,West,Technology,Phones,167.968,4,62.988
04-06-2018,Karen Daniels,Consumer,Springfield,Virginia,South,Office Supplies,Paper,75.88,2,35.6636
18-09-2018,Henry MacAllister,Consumer,New York City,New York,East,Office Supplies,Binders,4.616,1,1.731
14-09-2019,Tracy Blumstein,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,19.05,3,8.763
26-04-2017,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Chairs,831.936,8,-114.3912
26-04-2017,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,97.04,2,1.213
26-04-2017,Joel Eaton,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,72.784,1,-18.196
09-12-2019,Ken Brennan,Corporate,Houston,Texas,Central,Office Supplies,Binders,1.248,3,-1.9344
09-12-2019,Ken Brennan,Corporate,Houston,Texas,Central,Furniture,Furnishings,9.708,3,-5.8248
09-12-2019,Ken Brennan,Corporate,Houston,Texas,Central,Office Supplies,Storage,27.24,3,2.724
26-11-2016,Joel Eaton,Consumer,Houston,Texas,Central,Furniture,Furnishings,19.3,5,-14.475
12-06-2018,Stewart Carmichael,Corporate,Decatur,Alabama,South,Office Supplies,Appliances,208.16,1,56.2032
12-06-2018,Stewart Carmichael,Corporate,Decatur,Alabama,South,Office Supplies,Binders,16.74,3,8.0352
12-10-2016,Duane Noonan,Consumer,San Francisco,California,West,Office Supplies,Art,14.9,5,4.172
12-10-2016,Duane Noonan,Consumer,San Francisco,California,West,Office Supplies,Storage,21.39,1,6.2031
03-09-2017,Julie Creighton,Corporate,Durham,North Carolina,South,Office Supplies,Envelopes,200.984,7,62.8075
13-11-2019,Christopher Schild,Home Office,Chicago,Illinois,Central,Office Supplies,Storage,230.376,3,-48.9549
28-05-2019,Patrick O'Donnell,Consumer,Columbia,South Carolina,South,Furniture,Chairs,301.96,2,33.2156
26-10-2019,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,Technology,Accessories,19.99,1,6.7966
26-10-2019,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,Office Supplies,Labels,6.16,2,2.9568
05-04-2018,Gary Mitchum,Home Office,Houston,Texas,Central,Office Supplies,Storage,158.368,7,13.8572
17-09-2018,Jim Sink,Corporate,Los Angeles,California,West,Office Supplies,Art,20.1,3,6.633
17-09-2018,Jim Sink,Corporate,Los Angeles,California,West,Technology,Phones,73.584,2,8.2782
17-09-2018,Jim Sink,Corporate,Los Angeles,California,West,Office Supplies,Paper,6.48,1,3.1104
31-01-2017,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Paper,12.96,2,6.2208
31-01-2017,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings,53.34,3,16.5354
31-01-2017,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,32.96,2,16.1504
06-11-2019,Roger Barcio,Home Office,Portland,Oregon,West,Office Supplies,Binders,5.682,1,-3.788
09-11-2019,Parhena Norris,Home Office,New York City,New York,East,Furniture,Furnishings,96.53,7,40.5426
17-06-2019,Katherine Ducich,Consumer,San Francisco,California,West,Office Supplies,Binders,51.312,3,17.9592
06-09-2018,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,Central,Office Supplies,Appliances,77.88,6,22.5852
29-08-2018,Rick Bensley,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,64.624,7,22.6184
29-08-2018,Rick Bensley,Home Office,Chicago,Illinois,Central,Technology,Accessories,95.976,3,-10.7973
29-08-2018,Rick Bensley,Home Office,Chicago,Illinois,Central,Office Supplies,Binders,1.788,3,-3.0396
01-12-2018,Gary Zandusky,Consumer,Rochester,Minnesota,Central,Office Supplies,Paper,23.92,4,11.7208
13-11-2017,Lena Cacioppo,Consumer,Aurora,Colorado,West,Technology,Accessories,238.896,6,-26.8758
13-11-2017,Lena Cacioppo,Consumer,Aurora,Colorado,West,Furniture,Furnishings,102.36,3,-3.8385
13-11-2017,Lena Cacioppo,Consumer,Aurora,Colorado,West,Office Supplies,Binders,36.882,3,-25.8174
23-11-2019,Janet Martin,Consumer,Charlotte,North Carolina,South,Technology,Accessories,74.112,8,17.6016
23-11-2019,Janet Martin,Consumer,Charlotte,North Carolina,South,Technology,Phones,27.992,1,2.0994
23-11-2019,Janet Martin,Consumer,Charlotte,North Carolina,South,Office Supplies,Art,3.304,1,1.0738
15-10-2017,Pete Armstrong,Home Office,Orland Park,Illinois,Central,Technology,Accessories,339.96,5,67.992
25-12-2019,Cynthia Voltz,Corporate,New York City,New York,East,Furniture,Furnishings,41.96,2,10.9096
03-11-2018,Clay Ludtke,Consumer,Urbandale,Iowa,Central,Office Supplies,Art,75.96,2,22.788
03-11-2018,Clay Ludtke,Consumer,Urbandale,Iowa,Central,Office Supplies,Binders,27.24,6,13.3476
25-08-2016,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Fasteners,40.096,14,14.5348
25-08-2016,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,4.72,2,1.652
25-08-2016,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Paper,23.976,3,7.4925
25-08-2016,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,130.464,6,44.0316
02-03-2017,Dave Kipp,Consumer,Seattle,Washington,West,Furniture,Tables,787.53,3,165.3813
05-04-2017,Greg Guthrie,Corporate,Bristol,Tennessee,South,Office Supplies,Binders,157.794,1,-115.7156
12-06-2018,Steven Cartwright,Consumer,Wilmington,Delaware,East,Furniture,Furnishings,47.04,3,18.3456
12-06-2018,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Binders,30.84,4,13.878
12-06-2018,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Storage,226.56,6,63.4368
12-06-2018,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Envelopes,115.02,9,51.759
12-06-2018,Steven Cartwright,Consumer,Wilmington,Delaware,East,Technology,Phones,68.04,7,19.7316
26-12-2016,Alan Dominguez,Home Office,Houston,Texas,Central,Furniture,Chairs,600.558,3,-8.5794
20-09-2016,Philip Fox,Consumer,Bloomington,Illinois,Central,Furniture,Tables,617.7,6,-407.682
05-11-2019,Troy Staebel,Consumer,Phoenix,Arizona,West,Office Supplies,Binders,2.388,2,-1.8308
05-11-2019,Troy Staebel,Consumer,Phoenix,Arizona,West,Office Supplies,Storage,243.992,7,30.499
06-11-2018,Lindsay Shagiari,Home Office,Los Angeles,California,West,Furniture,Chairs,81.424,2,-9.1602
06-11-2018,Lindsay Shagiari,Home Office,Los Angeles,California,West,Furniture,Furnishings,238.56,3,26.2416
02-02-2019,Dorothy Wardle,Corporate,Columbus,Ohio,East,Technology,Phones,59.97,5,-11.994
02-02-2019,Dorothy Wardle,Corporate,Columbus,Ohio,East,Office Supplies,Paper,78.304,2,29.364
02-02-2019,Dorothy Wardle,Corporate,Columbus,Ohio,East,Office Supplies,Fasteners,21.456,9,6.9732
13-10-2018,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Paper,20.04,3,9.6192
13-10-2018,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Paper,35.44,1,16.6568
13-10-2018,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Art,11.52,4,3.456
13-10-2018,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Fasteners,4.02,2,1.9698
13-10-2018,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Binders,76.176,3,26.6616
13-10-2018,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Supplies,65.88,6,18.4464
13-10-2018,Lena Creighton,Consumer,Roseville,California,West,Furniture,Furnishings,43.12,14,20.6976
05-09-2018,Jonathan Doherty,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,82.8,2,10.35
18-09-2019,Sally Hughsby,Corporate,San Francisco,California,West,Office Supplies,Art,8.82,3,2.3814
18-09-2019,Sally Hughsby,Corporate,San Francisco,California,West,Office Supplies,Envelopes,10.86,3,5.1042
18-09-2019,Sally Hughsby,Corporate,San Francisco,California,West,Office Supplies,Paper,143.7,3,68.976
22-12-2019,Sandra Glassco,Consumer,Independence,Missouri,Central,Office Supplies,Appliances,839.43,3,218.2518
07-09-2017,Helen Andreada,Consumer,Pasadena,California,West,Office Supplies,Storage,671.93,7,20.1579
22-10-2016,Maureen Gastineau,Home Office,Newark,Ohio,East,Furniture,Furnishings,93.888,4,12.9096
05-12-2018,Justin Ellison,Corporate,Franklin,Wisconsin,Central,Technology,Phones,384.45,11,103.8015
05-12-2018,Justin Ellison,Corporate,Franklin,Wisconsin,Central,Technology,Phones,149.97,3,5.9988
05-12-2018,Justin Ellison,Corporate,Franklin,Wisconsin,Central,Furniture,Chairs,1951.84,8,585.552
05-12-2018,Justin Ellison,Corporate,Franklin,Wisconsin,Central,Office Supplies,Binders,171.55,5,80.6285
13-03-2018,Tamara Willingham,Home Office,Scottsdale,Arizona,West,Office Supplies,Appliances,157.92,5,17.766
13-03-2018,Tamara Willingham,Home Office,Scottsdale,Arizona,West,Technology,Phones,203.184,2,15.2388
31-05-2017,Stephanie Phelps,Corporate,San Jose,California,West,Office Supplies,Paper,58.38,7,26.271
31-05-2017,Stephanie Phelps,Corporate,San Jose,California,West,Office Supplies,Paper,105.52,4,48.5392
31-05-2017,Stephanie Phelps,Corporate,San Jose,California,West,Office Supplies,Storage,80.88,6,21.0288
28-05-2017,Neil Knudson,Home Office,Seattle,Washington,West,Office Supplies,Art,6.63,3,1.7901
01-03-2016,Dave Brooks,Consumer,Seattle,Washington,West,Furniture,Chairs,457.568,2,51.4764
20-11-2018,Nora Paige,Consumer,Edmond,Oklahoma,Central,Office Supplies,Labels,14.62,2,6.8714
20-11-2018,Nora Paige,Consumer,Edmond,Oklahoma,Central,Technology,Phones,944.93,7,236.2325
11-05-2018,Ted Trevino,Consumer,Los Angeles,California,West,Office Supplies,Paper,5.98,1,2.691
28-12-2017,Eric Murdock,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,54.384,2,1.3596
16-11-2018,Ruben Dartt,Consumer,Carlsbad,New Mexico,West,Office Supplies,Envelopes,28.4,5,13.348
07-11-2018,Max Jones,Consumer,Seattle,Washington,West,Office Supplies,Binders,27.68,2,9.688
08-09-2016,Becky Martin,Consumer,San Antonio,Texas,Central,Office Supplies,Art,9.936,3,2.7324
08-09-2016,Becky Martin,Consumer,San Antonio,Texas,Central,Technology,Machines,8159.952,8,-1359.992
08-09-2016,Becky Martin,Consumer,San Antonio,Texas,Central,Office Supplies,Storage,275.928,3,-58.6347
08-09-2016,Becky Martin,Consumer,San Antonio,Texas,Central,Furniture,Chairs,1740.06,9,-24.858
08-09-2016,Becky Martin,Consumer,San Antonio,Texas,Central,Office Supplies,Art,32.064,6,6.8136
08-09-2016,Becky Martin,Consumer,San Antonio,Texas,Central,Office Supplies,Appliances,177.98,5,-453.849
08-09-2016,Becky Martin,Consumer,San Antonio,Texas,Central,Technology,Phones,143.976,3,8.9985
05-08-2016,Chad Sievert,Consumer,Los Angeles,California,West,Office Supplies,Paper,20.94,3,9.8418
05-08-2016,Chad Sievert,Consumer,Los Angeles,California,West,Office Supplies,Paper,110.96,2,53.2608
05-08-2016,Chad Sievert,Consumer,Los Angeles,California,West,Furniture,Chairs,340.144,7,21.259
14-09-2016,Jennifer Braxton,Corporate,Chicago,Illinois,Central,Office Supplies,Appliances,52.448,2,-131.12
14-09-2016,Jennifer Braxton,Corporate,Chicago,Illinois,Central,Office Supplies,Labels,20.16,4,6.552
21-04-2019,Shirley Jackson,Consumer,Houston,Texas,Central,Office Supplies,Appliances,97.264,4,-243.16
21-11-2017,Joel Eaton,Consumer,Newark,Ohio,East,Furniture,Chairs,396.802,7,-11.3372
21-11-2017,Joel Eaton,Consumer,Newark,Ohio,East,Office Supplies,Supplies,15.88,5,-3.7715
15-12-2017,Jim Kriz,Home Office,New York City,New York,East,Office Supplies,Art,3.28,1,1.4104
05-12-2016,David Kendrick,Corporate,Decatur,Illinois,Central,Office Supplies,Storage,24.816,2,1.8612
05-12-2016,David Kendrick,Corporate,Decatur,Illinois,Central,Technology,Accessories,408.744,7,76.6395
19-11-2016,Robert Marley,Home Office,Monroe,Louisiana,South,Technology,Phones,503.96,4,131.0296
19-11-2016,Robert Marley,Home Office,Monroe,Louisiana,South,Technology,Phones,149.95,5,41.986
19-11-2016,Robert Marley,Home Office,Monroe,Louisiana,South,Technology,Accessories,29,2,7.25
28-11-2018,Sally Knutson,Consumer,Fairfield,Connecticut,East,Office Supplies,Binders,7.16,2,3.4368
26-08-2016,Frank Merwin,Home Office,Los Angeles,California,West,Technology,Accessories,176.8,8,22.984
16-07-2018,Alice McCarthy,Corporate,Grand Prairie,Texas,Central,Office Supplies,Storage,37.224,3,3.7224
16-07-2018,Alice McCarthy,Corporate,Grand Prairie,Texas,Central,Office Supplies,Paper,20.016,3,6.255
12-10-2017,Mark Packer,Home Office,New York City,New York,East,Furniture,Bookcases,899.136,4,112.392
12-10-2017,Mark Packer,Home Office,New York City,New York,East,Technology,Phones,71.76,6,20.0928
12-10-2017,Mark Packer,Home Office,New York City,New York,East,Office Supplies,Paper,51.84,8,24.8832
12-10-2017,Mark Packer,Home Office,New York City,New York,East,Furniture,Bookcases,626.352,3,46.9764
12-10-2017,Mark Packer,Home Office,New York City,New York,East,Office Supplies,Art,19.9,5,6.567
31-10-2017,Mary Zewe,Corporate,Redlands,California,West,Office Supplies,Envelopes,14.28,7,6.7116
21-03-2016,Cassandra Brandow,Consumer,Hamilton,Ohio,East,Office Supplies,Art,7.408,2,1.2038
21-03-2016,Cassandra Brandow,Consumer,Hamilton,Ohio,East,Office Supplies,Art,6.048,3,1.5876
06-11-2019,Valerie Mitchum,Home Office,Westfield,New Jersey,East,Office Supplies,Storage,46.26,3,12.0276
06-07-2019,Fred Hopkins,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Binders,2.946,2,-2.2586
06-07-2019,Fred Hopkins,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,16.056,3,5.8203
24-06-2019,Maria Bertelson,Consumer,Akron,Ohio,East,Office Supplies,Paper,21.744,3,6.795
03-08-2016,Bruce Stewart,Consumer,Denver,Colorado,West,Furniture,Tables,218.75,2,-161.875
03-08-2016,Bruce Stewart,Consumer,Denver,Colorado,West,Office Supplies,Appliances,2.6,1,0.2925
17-12-2019,Logan Currie,Consumer,Dallas,Texas,Central,Office Supplies,Appliances,66.284,2,-178.9668
03-06-2019,Heather Kirkland,Corporate,Franklin,Tennessee,South,Furniture,Furnishings,35.168,7,9.6712
09-12-2019,Laurel Elliston,Consumer,Whittier,California,West,Technology,Phones,444.768,4,44.4768
01-12-2019,Joseph Holt,Consumer,Saginaw,Michigan,Central,Office Supplies,Storage,83.92,4,5.8744
01-12-2019,Joseph Holt,Consumer,Saginaw,Michigan,Central,Technology,Phones,131.98,2,35.6346
01-12-2019,Joseph Holt,Consumer,Saginaw,Michigan,Central,Office Supplies,Binders,15.92,4,7.4824
01-12-2019,Joseph Holt,Consumer,Saginaw,Michigan,Central,Office Supplies,Fasteners,52.29,9,16.2099
01-12-2019,Joseph Holt,Consumer,Saginaw,Michigan,Central,Office Supplies,Storage,91.99,1,3.6796
09-02-2017,Michael Stewart,Corporate,Dallas,Texas,Central,Technology,Accessories,20.8,2,6.5
02-01-2017,Victoria Wilson,Corporate,Medina,Ohio,East,Office Supplies,Labels,23.68,2,8.88
02-01-2017,Victoria Wilson,Corporate,Medina,Ohio,East,Furniture,Bookcases,452.45,5,-244.323
02-01-2017,Victoria Wilson,Corporate,Medina,Ohio,East,Technology,Phones,62.982,3,-14.6958
02-01-2017,Victoria Wilson,Corporate,Medina,Ohio,East,Technology,Machines,1188,9,-950.4
02-01-2017,Victoria Wilson,Corporate,Medina,Ohio,East,Technology,Accessories,89.584,2,4.4792
28-10-2018,Jonathan Howell,Consumer,Los Angeles,California,West,Office Supplies,Storage,93.06,6,26.0568
28-10-2018,Jonathan Howell,Consumer,Los Angeles,California,West,Technology,Phones,302.376,3,22.6782
24-12-2017,Joni Blumstein,Consumer,Dublin,Ohio,East,Office Supplies,Fasteners,5.584,2,1.8148
24-12-2017,Joni Blumstein,Consumer,Dublin,Ohio,East,Office Supplies,Paper,22.704,6,8.2302
24-12-2017,Joni Blumstein,Consumer,Dublin,Ohio,East,Office Supplies,Binders,19.776,4,-13.8432
24-12-2017,Joni Blumstein,Consumer,Dublin,Ohio,East,Furniture,Furnishings,72.704,4,19.0848
24-12-2017,Joni Blumstein,Consumer,Dublin,Ohio,East,Technology,Machines,479.988,4,-383.9904
24-12-2017,Joni Blumstein,Consumer,Dublin,Ohio,East,Office Supplies,Art,27.168,2,2.7168
09-08-2017,David Smith,Corporate,Detroit,Michigan,Central,Office Supplies,Art,2.2,1,0.968
09-08-2017,David Smith,Corporate,Detroit,Michigan,Central,Furniture,Tables,622.45,5,136.939
09-08-2017,David Smith,Corporate,Detroit,Michigan,Central,Office Supplies,Storage,21.98,1,0.2198
28-02-2017,Valerie Dominguez,Consumer,Columbia,Tennessee,South,Furniture,Chairs,161.568,2,-28.2744
28-02-2017,Valerie Dominguez,Consumer,Columbia,Tennessee,South,Furniture,Chairs,389.696,8,43.8408
13-09-2016,Erin Ashbrook,Corporate,Charlotte,North Carolina,South,Office Supplies,Binders,18.648,7,-12.432
07-04-2019,Christopher Schild,Home Office,Tampa,Florida,South,Furniture,Tables,233.86,2,-102.048
07-04-2019,Christopher Schild,Home Office,Tampa,Florida,South,Furniture,Tables,620.6145,3,-248.2458
07-04-2019,Christopher Schild,Home Office,Tampa,Florida,South,Office Supplies,Binders,5.328,2,-3.552
07-04-2019,Christopher Schild,Home Office,Tampa,Florida,South,Furniture,Furnishings,258.072,3,0
07-04-2019,Christopher Schild,Home Office,Tampa,Florida,South,Technology,Accessories,617.976,3,-7.7247
12-11-2019,David Bremer,Corporate,Santa Clara,California,West,Office Supplies,Paper,10.56,2,4.752
04-06-2018,Ken Lonsdale,Consumer,Chicago,Illinois,Central,Office Supplies,Paper,25.92,5,9.396
04-06-2018,Ken Lonsdale,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,419.68,5,-356.728
04-06-2018,Ken Lonsdale,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,11.688,3,-4.6752
04-06-2018,Ken Lonsdale,Consumer,Chicago,Illinois,Central,Technology,Phones,31.984,2,11.1944
04-06-2018,Ken Lonsdale,Consumer,Chicago,Illinois,Central,Furniture,Tables,177.225,5,-120.513
04-06-2018,Ken Lonsdale,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,4.044,3,-2.8308
04-06-2018,Ken Lonsdale,Consumer,Chicago,Illinois,Central,Office Supplies,Art,7.408,2,1.2038
01-06-2016,Dianna Wilson,Home Office,Lakeville,Minnesota,Central,Furniture,Chairs,2001.86,7,580.5394
01-06-2016,Dianna Wilson,Home Office,Lakeville,Minnesota,Central,Office Supplies,Storage,166.72,2,41.68
01-06-2016,Dianna Wilson,Home Office,Lakeville,Minnesota,Central,Office Supplies,Paper,47.88,6,23.94
01-06-2016,Dianna Wilson,Home Office,Lakeville,Minnesota,Central,Office Supplies,Appliances,1503.25,5,496.0725
01-06-2016,Dianna Wilson,Home Office,Lakeville,Minnesota,Central,Office Supplies,Paper,25.92,4,12.4416
10-12-2018,Logan Haushalter,Consumer,San Francisco,California,West,Furniture,Chairs,321.568,2,28.1372
11-09-2018,Kelly Collister,Consumer,San Diego,California,West,Office Supplies,Paper,7.61,1,3.5767
11-09-2018,Kelly Collister,Consumer,San Diego,California,West,Technology,Accessories,3347.37,13,636.0003
10-12-2018,Delfina Latchford,Consumer,New York City,New York,East,Office Supplies,Storage,80.58,6,22.5624
10-12-2018,Delfina Latchford,Consumer,New York City,New York,East,Office Supplies,Envelopes,361.92,4,162.864
28-11-2017,Dan Reichenbach,Corporate,Chicago,Illinois,Central,Furniture,Furnishings,12.132,9,-8.4924
28-11-2017,Dan Reichenbach,Corporate,Chicago,Illinois,Central,Office Supplies,Storage,82.368,2,-19.5624
